session_id,yaw,pitch,gaze_left_x,gaze_left_y,gaze_left_z,gaze_right_x,gaze_right_y,gaze_right_z,head_tx,head_ty,head_tz,head_roll,head_pitch,head_yaw,screen_x,screen_y
7e35c5cd,0.0040956,-0.124997,0.063207,-0.123311,-0.99026,-0.054196,-0.125286,-0.990682,14.0474,91.5206,547.071,-0.301512,0.0890422,-0.00941065,855,55
7e35c5cd,-0.0224583,-0.0104381,0.0572269,-0.0303959,-0.997697,-0.100365,0.00853331,-0.994593,14.2128,97.9747,551.479,-0.236434,0.0920364,-0.0144437,855,1051
7e35c5cd,0.0876486,-0.0627914,0.171171,-0.0819547,-0.981501,0.000496811,-0.0434641,-0.998651,23.6573,96.1847,549.501,-0.269008,-0.0440784,0.00507845,213,553
7e35c5cd,-0.0934723,-0.0485365,-0.0364438,-0.0634872,-0.997294,-0.150802,-0.0326467,-0.987845,8.52553,96.3708,550.191,-0.257135,0.157332,0.00731516,1496,553
cfe952ce,0.1896405,0.0351828,0.2537705,0.0301673,-0.9665575,0.123451,0.0351288,-0.991638,24.0841,31.667450000000002,423.20050000000003,-0.104335,-0.10250000000000001,-0.0391079,85,55
cfe952ce,-0.14599800000000002,0.058661500000000005,-0.060550099999999996,0.048871250000000005,-0.9962205,-0.226898,0.058393600000000004,-0.972405,14.48535,31.967950000000002,422.256,-0.08376534999999999,0.0003562005,-0.022954799999999997,1624,55
cfe952ce,0.0948639,0.175,0.204492,0.149017,-0.967436,-0.0198913,0.196869,-0.97987,15.1701,33.0167,426.522,-0.0924459,-0.00142743,-0.0106145,85,1051
cfe952ce,-0.060397,0.185541,0.0450202,0.167247,-0.98393,-0.163865,0.195493,-0.966731,13.7384,32.9302,424.561,-0.081698,0.0262223,-0.0261799,1624,1051
cfe952ce,-0.00495114,0.10839,0.0692732,0.0793517,-0.994404,-0.0840822,0.135513,-0.987519,14.905,32.4079,423.821,-0.0906304,0.0179932,-0.0204397,855,553
cfe952ce,-0.00750837,0.0531522,0.0637434,0.0457154,-0.996781,-0.0795861,0.059369,-0.995137,14.9767,30.9801,421.524,-0.0951904,0.020649,-0.0196349,855,55
cfe952ce,0.00250933,0.18181,0.115978,0.158727,-0.980097,-0.106338,0.199787,-0.973829,14.7675,32.1969,422.557,-0.0940168,0.019782,-0.025194,855,1051
cfe952ce,0.0850586,0.113059,0.178863,0.0810196,-0.98036,-0.00870453,0.143792,-0.989372,16.4815,31.8299,422.307,-0.097385,0.0104966,-0.0134715,213,553
cfe952ce,-0.10855,0.112066,-0.0407563,0.0762784,-0.995721,-0.176487,0.143951,-0.974364,12.3544,31.7686,420.225,-0.0857995,0.068554,-0.0323384,1496,553
e79366c4,0.230693,0.0277172,0.294428,0.0229881,-0.955312,0.159661,0.0316897,-0.986432,10.6354,28.1742,419.059,-0.134847,-0.128713,-0.0558968,85,55
e79366c4,-0.155071,0.0427341,-0.0800638,0.0409218,-0.995619,-0.226172,0.0448753,-0.972272,-9.12843,28.7154,416.537,-0.106488,0.0904548,-0.0558944,1624,55
e79366c4,0.160423,0.182964,0.267341,0.15938,-0.950429,0.0430091,0.194521,-0.979464,2.34114,33.2112,416.603,-0.0776155,-0.116779,-0.0199052,85,1051
