session_id,yaw,pitch,gaze_left_x,gaze_left_y,gaze_left_z,gaze_right_x,gaze_right_y,gaze_right_z,head_tx,head_ty,head_tz,head_roll,head_pitch,head_yaw,screen_x,screen_y
7068ddf6,-0.0503795,-0.0105259,0.0298391,-0.0147929,-0.998992,-0.128582,-0.00618492,-0.991048,19.7814,20.9706,774.829,-0.0879615,0.091469,-0.0311025,75,932
7068ddf6,-0.109322,0.0269777,-0.0279385,0.0148925,-0.999366,-0.189845,0.0390589,-0.981104,-5.94968,23.0761,778.677,-0.041245,0.183688,-0.0503539,1436,932
7068ddf6,-0.06467429999999999,-0.0032236,0.01368225,-0.0122033,-0.999665,-0.142683,0.00640866,-0.9897325,9.59117,19.05025,764.184,-0.0815089,0.1201275,-0.07249805000000001,756,491
7068ddf6,-0.0217646,-0.0321649,0.0568022,-0.0396247,-0.997351,-0.101246,-0.0245856,-0.994477,29.6252,14.6858,771.751,-0.113178,0.04343,-0.0681005,756,49
7068ddf6,-0.0296096,-0.00991977,0.0492267,-0.019201,-0.997729,-0.108982,-0.000483694,-0.993097,16.6401,14.9303,773.82,-0.0953196,0.0691224,-0.0834604,756,932
7068ddf6,0.0155568,-0.0135807,0.0929198,-0.0192819,-0.995185,-0.0619011,-0.0104967,-0.998068,43.4437,15.0946,761.756,-0.0952057,-0.0147399,-0.0238905,189,491
7068ddf6,-0.0696915,0.0137111,0.00871384,0.00560399,-0.999856,-0.147553,0.0211406,-0.988809,32.3485,17.6039,754.073,-0.0634413,0.116703,-0.0611915,1323,491
0b12cf80,0.0891919,-0.0397927,0.165233,-0.0421501,-0.985443,0.0115508,-0.0375791,-0.999097,31.0638,32.0088,802.107,-0.120046,-0.104903,-0.0263788,75,49
0b12cf80,-0.00442433,-0.0451403,0.07395925,-0.04961915,-0.995793,-0.08130960000000001,-0.041736949999999995,-0.995941,24.8345,37.573,801.0509999999999,-0.1160305,0.0237079,-0.03241495,1436,49
0b12cf80,0.04813025,-0.032124150000000004,0.122202,-0.033814250000000004,-0.9918210000000001,-0.027190199999999998,-0.029973850000000003,-0.9983235,45.2671,37.4263,804.7339999999999,-0.1083445,-0.0554491,-0.046372750000000004,75,932
0b12cf80,0.0121458,-0.0159421,0.089279,-0.0228431,-0.995633,-0.0651538,-0.00877667,-0.997836,36.5891,41.2797,811.917,-0.0757132,0.00847469,-0.0753212,1436,932
0b12cf80,0.0555187,-0.00758615,0.131615,-0.0146183,-0.990976,-0.0199507,-0.000652211,-0.999643,7.39284,32.3751,770.201,-0.0750285,-0.0474503,-0.0753868,756,491
0b12cf80,0.00790865,-0.0221553,0.0857405,-0.0268539,-0.99591,-0.0705237,-0.017316,-0.997294,17.3278,35.4307,780.708,-0.0957514,0.0134601,-0.0409198,756,49
0b12cf80,0.018316,0.0329984,0.0958331,0.0248378,-0.994789,-0.0599565,0.0409183,-0.997317,19.4963,44.2793,773.566,-0.0329156,-0.002409,-0.0453415,756,932
0b12cf80,0.0665799,0.0246093,0.144013,0.0179983,-0.989573,-0.0115283,0.0286166,-0.998168,38.4653,44.5701,773.355,-0.0378967,-0.0867643,-0.039654,189,491
0b12cf80,-0.036160899999999996,-0.022877250000000002,0.039835949999999995,-0.0303058,-0.9985759999999999,-0.113618,-0.015469650000000001,-0.9924115,21.10345,42.8167,782.3895,-0.0905678,0.070311,-0.0405618,1323,491
645620aa,0.0703858,-0.05280795,0.14590399999999998,-0.05047675,-0.9876945,-0.0050046150000000005,-0.053107600000000005,-0.998279,14.307500000000001,47.125600000000006,563.6725,-0.1760835,-0.0747874,0.005638565,75,49
645620aa,-0.059323600000000004,0.01057545,0.00983023,0.0036412700000000003,-0.997483,-0.12080199999999999,0.014954450000000001,-0.991556,-1.73841,52.34445,551.7355,-0.1439365,0.09623005,-0.016901350000000002,1436,49
